date,kdfw_obs,kdfw_fcst,baseline_pred_residual,advection_pred_residual,baseline_corrected,advection_corrected,baseline_error,advection_error,front_day,front_uncertainty_multiplier
2024-01-01,55.0,52.1,2.0873882035843123,2.280724276908815,54.18738820358431,54.380724276908815,0.8126117964156876,0.6192757230911852,False,1.0
2024-01-02,49.0,47.2,0.9306361058217851,0.719637451430176,48.130636105821786,47.91963745143018,0.869363894178214,1.0803625485698234,False,1.0
2024-01-03,55.0,54.6,1.2048156352379058,1.288793544844567,55.80481563523791,55.88879354484457,-0.8048156352379081,-0.8887935448445674,False,1.0
2024-01-04,58.0,57.1,0.9585278625874536,0.7922061769127575,58.058527862587454,57.89220617691276,-0.05852786258745368,0.10779382308724195,False,1.0
2024-01-05,54.0,58.7,-3.5298368954275534,-4.007206431585788,55.17016310457245,54.69279356841422,-1.1701631045724525,-0.692793568414217,False,1.0
2024-01-06,49.0,54.0,-3.8745523425601096,-3.89981024062659,50.12544765743989,50.10018975937341,-1.1254476574398922,-1.1001897593734071,False,1.0
2024-01-07,60.0,57.7,2.013026837904779,2.088787990177344,59.713026837904785,59.78878799017735,0.2869731620952152,0.21121200982265265,False,1.0
2024-01-08,57.0,61.7,-3.683960549844394,-3.740912169405427,58.01603945015561,57.95908783059458,-1.0160394501556098,-0.9590878305945765,False,1.0
2024-01-09,53.0,53.0,0.7451022800056425,0.7128835531471607,53.74510228000564,53.71288355314716,-0.7451022800056393,-0.712883553147158,False,1.0
2024-01-10,67.0,63.0,3.477402462882759,3.4470586838317305,66.47740246288276,66.44705868383173,0.5225975371172353,0.5529413161682726,False,1.0
2024-01-11,71.0,66.9,2.8634035614577296,2.6597632923097194,69.76340356145774,69.55976329230973,1.2365964385422643,1.440236707690275,False,1.0
2024-01-12,64.0,63.0,1.898915191330711,1.9978093869738225,64.89891519133072,64.99780938697383,-0.8989151913307154,-0.9978093869738274,False,1.0
2024-01-13,63.0,58.5,3.865683854028117,3.80260666390144,62.36568385402812,62.30260666390144,0.63431614597188,0.6973933360985569,False,1.0
2024-01-14,31.0,37.8,-8.07309541413823,-8.07309541413823,29.726904585861767,29.726904585861767,1.2730954141382327,1.2730954141382327,True,2.0
2024-01-15,25.0,27.6,-1.432511310953929,-1.4773073209383971,26.167488689046074,26.122692679061604,-1.167488689046074,-1.122692679061604,False,1.0
2024-01-16,27.0,26.9,0.3176740533911295,0.28474158329514604,27.21767405339113,27.184741583295146,-0.21767405339112855,-0.18474158329514623,False,1.0
2024-01-17,43.0,41.8,1.3668773248979549,1.1809452136783338,43.16687732489795,42.98094521367833,-0.16687732489795337,0.019054786321667905,False,1.0
2024-01-18,59.0,54.0,5.99095559685455,5.9073898715920325,59.99095559685455,59.90738987159203,-0.9909555968545476,-0.9073898715920308,False,1.0
2024-01-19,51.0,41.4,5.434832387923538,5.8446297937486245,46.834832387923534,47.24462979374862,4.165167612076466,3.755370206251378,False,1.0
2024-01-20,37.0,34.9,1.3216339750078627,1.2096392848134248,36.22163397500786,36.109639284813426,0.7783660249921383,0.8903607151865742,False,1.0
2024-01-21,40.0,36.1,3.9572305956377387,3.6213635277145975,40.05723059563774,39.7213635277146,-0.05723059563774058,0.2786364722853989,False,1.0
2024-01-22,40.0,43.7,-4.130482533207358,-4.5481303654727,39.56951746679265,39.1518696345273,0.4304825332073534,0.8481303654726986,False,1.0
2024-01-23,50.0,50.7,-0.7530438344834333,-1.1598565305938673,49.94695616551657,49.54014346940613,0.053043834483432306,0.4598565305938678,False,1.0
2024-01-24,52.0,51.5,1.144555820898527,1.1718249216534304,52.644555820898525,52.67182492165343,-0.6445558208985247,-0.6718249216534318,False,1.0
2024-01-25,55.0,60.4,-6.129596038611954,-6.181805182741272,54.27040396138804,54.21819481725873,0.7295960386119589,0.7818051827412731,False,1.0
2024-01-26,52.0,58.3,-6.073265732245894,-6.514887863146846,52.226734267754104,51.78511213685315,-0.22673426775410377,0.21488786314684916,False,1.0
